Feature,Importance
Starts,0.40556764129249195
Min,0.4036644381764504
90s,0.4032922268706371
SCA_p90,-0.3101357626948694
MP,0.28216067568357844
CarProg,0.13458629200572103
GCA,-0.08681151553583102
PasProg,-0.06861599977262924
Born,-0.01691936461831046
SCA,0.015158989986499647
Age,0.004312319554949475
